FECHA;CONCEPTO;TIPO;MONTO
;Impuesto a las Ganancias;GASTO;0.0
2026-07-01;Sueldos blanco;GASTO;0.0
2026-07-01;Sueldos negro;GASTO;0.0
2026-07-01;Cargas sociales;GASTO;0.0
2026-07-01;Sindicato;GASTO;187.717
;Aguinaldos;GASTO;0.0
2026-07-01;Profesionales;GASTO;0.0
2026-07-01;Viandas Profesionales;GASTO;78.0
2026-07-01;Gastos Limpieza;GASTO;0.0
2026-07-01;Seguros Signos;GASTO;91.823
;Gastos TC;GASTO;0.0
2026-07-01;Gastos Varios;GASTO;0.0
2026-07-01;Gastos Libreria;GASTO;0.0
2026-07-01;Caja chica;GASTO;0.0
2026-07-01;Laboratorio;GASTO;0.0
2026-07-01;Cardiología;GASTO;598.0
2026-07-01;Neurología;GASTO;300.0
2026-07-01;Psicopedagóga;GASTO;0.0
2026-07-01;Fonoaudióloga;GASTO;130.0
2026-07-01;Neumonólogo;GASTO;0.0
2026-07-01;RX;GASTO;880.0
2026-07-01;Ergometria;GASTO;0.0
2026-07-01;Boletas REPAT;GASTO;0.0
2026-07-01;Boletas RNR;GASTO;66.004
2026-07-01;FALTANTE;AJUSTE;0.0
2026-07-01;SOBRANTE;AJUSTE;0.0
2026-07-01;Comisiones Mercado PAGO;GASTO;569.9396
2026-08-01;Ingresos por Mercado Pago;INGRESO;0.0
2026-08-01;Rendimientos;INGRESO;0.0
2026-08-01;Ingresos EFECTIVO;INGRESO;0.0
2026-08-01;Ingresos SANTANDER;INGRESO;0.0
2026-08-01;Ingresos E-CHEQ;INGRESO;0.0
2026-08-01;Alquiler Local;GASTO;0.0
2026-08-01;Luz;GASTO;0.0
2026-08-01;Gas;GASTO;0.0
2026-08-01;Internet;GASTO;248.2
2026-08-01;Movistar;GASTO;0.0
2026-08-01;Servicio Limpieza;GASTO;0.0
2026-08-01;Autónomos;GASTO;0.0
2026-08-01;Ingresos Brutos;GASTO;0.0
2026-08-01;IVA;GASTO;0.0
2026-08-01;Impuesto a las Ganancias;GASTO;0.0
2026-08-01;Sueldos blanco;GASTO;0.0
2026-08-01;Sueldos negro;GASTO;0.0
2026-08-01;Cargas sociales;GASTO;0.0
2026-08-01;Sindicato;GASTO;0.0
2026-08-01;Aguinaldos;GASTO;0.0
2026-08-01;Profesionales;GASTO;0.0
2026-08-01;Viandas Profesionales;GASTO;0.0
2026-08-01;Gastos Limpieza;GASTO;0.0
2026-08-01;Seguros Signos;GASTO;0.0
2026-08-01;Gastos TC;GASTO;0.0
2026-08-01;Gastos Varios;GASTO;0.0
2026-08-01;Gastos Libreria;GASTO;0.0
2026-08-01;Caja chica;GASTO;0.0
2026-08-01;Laboratorio;GASTO;0.0
2026-08-01;Cardiología;GASTO;0.0
2026-08-01;Neurología;GASTO;0.0
2026-08-01;Psicopedagóga;GASTO;0.0
2026-08-01;Fonoaudióloga;GASTO;0.0
2026-08-01;Neumonólogo;GASTO;0.0
2026-08-01;RX;GASTO;0.0
2026-08-01;Ergometria;GASTO;0.0
2026-08-01;Boletas REPAT;GASTO;0.0
2026-08-01;Boletas RNR;GASTO;0.0
2026-08-01;FALTANTE;AJUSTE;0.0
2026-08-01;SOBRANTE;AJUSTE;0.0
2026-08-01;Comisiones Mercado PAGO;GASTO;0.0
